"code","nom","name","femme","homme"
"AFG","Afghanistan","Afghanistan",66.388,63.382
"ZAF","Afrique du Sud","South Africa",67.679,60.726
"ALB","Albanie","Albania",80.201,77.002
"DZA","Algérie","Algeria",78.133,75.676
"DEU","Allemagne","Germany",83.4,78.6
"AGO","Angola","Angola",64.039,58.416
"SAU","Arabie Saoudite","Saudi Arabia",76.759,73.935
"ARG","Argentine","Argentina",79.995,73.242
"ARM","Arménie","Armenia",78.516,71.327
"AUS","Australie","Australia",85,80.9
"AUT","Autriche","Austria",84.2,79.5
"AZE","Azerbaïdjan","Azerbaijan",75.455,70.511
"BHR","Bahreïn","Bahrain",78.423,76.436
"BGD","Bangladesh","Bangladesh",74.595,70.877
"BLR","Belarus","Belarus",79.4,69.3
"BEL","Belgique","Belgium",84,79.6
"BEN","Bénin ","Benin",63.324,60.201
"BTN","Bhoutan","Bhutan",72.176,71.405
"BOL","Bolivie","Bolivia",74.508,68.684
"BIH","Bosnie-Herzégovine","Bosnia and Herzegovina",79.857,74.893
"BWA","Botswana","Botswana",72.386,66.485
"BRA","Brésil","Brazil",79.555,72.243
"BGR","Bulgarie","Bulgaria",78.5,71.5
"BFA","Burkina Faso","Burkina Faso",62.294,60.739
"BDI","Burundi","Burundi",63.377,59.764
"KHM","Cambodge","Cambodia",71.909,67.538
"CMR","Cameroun","Cameroon",60.561,58.029
"CAN","Canada","Canada",84.2,80
"CPV","Cap-Vert","Cape Verde",76.197,69.526
"CAF","Centrafricaine (rep)","Central African Republic",55.514,51.081
"CHL","Chili","Chile",82.442,77.771
"CHN","Chine","China",79.244,74.761
"CYP","Chypre","Cyprus",83.032,78.921
"COL","Colombie","Colombia",80.019,74.528
"COM","Comores(Les)","Comoros",66.121,62.587
"COG","Congo","Republic of Congo",66.023,63.082
"COD","Congo (rep. dem.)","Democratic Republic of the Congo",62.233,59.147
"PRK","Corée du Nord","North Korea",75.744,68.615
"KOR","Corée du Sud","South Korea",86.3,80.3
"CRI","Costa Rica","Costa Rica",82.893,77.739
"CIV","Côte d'Ivoire","Ivory Coast",59.119,56.593
"HRV","Croatie","Croatia",81.6,75.4
"CUB","Cuba","Cuba",80.779,76.84
"DNK","Danemark","Denmark",83.2,79.3
"DJI","Djibouti","Djibouti",69.357,65.116
"DOM","Dominicaine (Rep)","Dominican Republic",77.381,70.991
"EGY","Égypte","Egypt",74.35,69.742
"ARE","Émirats arabes unis","United Arab Emirates",79.314,77.291
"ECU","Équateur","Ecuador",79.838,74.282
"ERI","Érythrée","Eritrea",68.555,64.153
"ESP","Espagne","Spain",86.2,80.9
"EST","Estonie","Estonia",82.8,74.4
"SWZ","Eswatini","Eswatini",64.845,56.007
"USA","États-Unis","USA",81.4,76.3
"ETH","Éthiopie","Ethiopia",68.536,64.694
"FIN","Finlande","Finland",84.5,79.2
"FRA","France","France",85.6,79.7
"GAB","Gabon","Gabon",68.669,64.382
"GMB","Gambie","Gambia",63.481,60.656
"GEO","Géorgie","Georgia",78.14,69.349
"GHA","Ghana","Ghana",65.177,62.991
"GRC","Grèce","Greece",84.5,79.5
"GTM","Guatemala","Guatemala",77.151,71.382
"GIN","Guinée","Guinea",62.117,60.855
"GNQ","Guinée équatoriale","Equatorial Guinea",59.918,57.743
"GNB","Guinée-Bissau","Guinea-Bissau",60.213,56.305
"GUY","Guyana","Guyana",73.095,66.927
"HTI","Haïti","Haiti",66.182,61.831
"HND","Honduras","Honduras",77.551,72.96
"HUN","Hongrie","Hungary",79.3,72.9
"IND","Inde","India",70.95,68.464
"IDN","Indonésie","Indonesia",73.967,69.572
"IRQ","Irak","Iraq",72.652,68.565
"IRN","Iran","Iran",77.885,75.593
"IRL","Irlande","Ireland",84.3,80.4
"ISL","Islande","Iceland",84.2,81
"ISR","Israël","Israel",84.7,81
"ITA","Italie","Italy",85.4,81.1
"JAM","Jamaïque","Jamaica",76.118,72.868
"JPN","Japon","Japan",87.45,81.41
"JOR","Jordanie","Jordan",76.306,72.839
"KAZ","Kazakhstan","Kazakhstan",77.3,68.82
"KEN","Kenya","Kenya",69.049,64.313
"KGZ","Kirghizstan","Kyrgyzstan",75.8,67.6
"KWT","Koweït","Kuwait",76.58,74.76
"LAO","Laos","Laos",69.746,66.142
